Country,Jan2020_cases,Jan2020_deaths,Feb2020_cases,Feb2020_deaths,Mar2020_cases,Mar2020_deaths,Apr2020_cases,Apr2020_deaths,May2020_cases,May2020_deaths,Jun2020_cases,Jun2020_deaths,Jul2020_cases,Jul2020_deaths,Aug2020_cases,Aug2020_deaths,Sep2020_cases,Sep2020_deaths,Oct2020_cases,Oct2020_deaths,Nov2020_cases,Nov2020_deaths,Dec2020_cases,Dec2020_deaths,Jan2021_cases,Jan2021_deaths,Feb2021_cases,Feb2021_deaths,Mar2021_cases,Mar2021_deaths,Apr2021_cases,Apr2021_deaths,May2021_cases,May2021_deaths,Jun2021_cases,Jun2021_deaths,Jul2021_cases,Jul2021_deaths,Aug2021_cases,Aug2021_deaths,Sep2021_cases,Sep2021_deaths,Oct2021_cases,Oct2021_deaths,Nov2021_cases,Nov2021_deaths,Dec2021_cases,Dec2021_deaths,Jan2022_cases,Jan2022_deaths,Feb2022_cases,Feb2022_deaths,Mar2022_cases,Mar2022_deaths,Apr2022_cases,Apr2022_deaths,May2022_cases,May2022_deaths,Jun2022_cases,Jun2022_deaths,Jul2022_cases,Jul2022_deaths,Aug2022_cases,Aug2022_deaths,Sep2022_cases,Sep2022_deaths,Oct2022_cases,Oct2022_deaths,Nov2022_cases,Nov2022_deaths,Dec2022_cases,Dec2022_deaths,Jan2023_cases,Jan2023_deaths,Feb2023_cases,Feb2023_deaths,Mar2023_cases,Mar2023_deaths,Death_Rate
Mauritius,0,0,0,0,125,3,332,10,335,10,341,10,344,10,355,10,381,10,441,10,504,10,527,10,568,10,610,10,963,10,1206,16,1411,18,1898,18,4214,20,10676,31,15695,84,22852,176,55634,527,68480,786,105935,822,167644,904,210343,968,220344,990,225862,996,231036,1003,244850,1013,256452,1023,262648,1026,265301,1032,276456,1034,289980,1041,294602,1043,295440,1044,296042,1044,0.35265266414900587
Mexico,0,0,4,0,1215,29,19224,1859,90664,9930,226089,27769,424637,46688,599560,64414,743216,77646,924962,91753,1113543,105940,1426094,125807,1864260,158536,2086938,185715,2238887,203210,2344755,216907,2413742,223568,2519269,233047,2848252,240906,3352410,259326,3664223,277507,3807211,288365,3884566,293950,3979723,299428,4942590,306091,5508629,318149,5659535,323016,5739680,324334,5775977,324922,6034602,325716,6711847,327525,7014510,329390,7089209,330112,7110993,330392,7125176,330495,7234467,331099,7368252,332198,7451429,332988,7483444,333188,4.45233504787368
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,0,30,0,38,0,4321,4,7327,26,10814,31,22203,55,22203,58,22203,58,22676,58,23671,60,23948,61,0.2547185568732253
Moldova,0,0,0,0,353,4,3897,116,8251,295,16613,545,24733,778,36920,995,53042,1320,76040,1785,107364,2304,144818,2985,159804,3438,185453,3949,230241,4960,250837,5812,255186,6107,256734,6194,259478,6255,267526,6401,294392,6777,337768,7790,363774,9119,376155,10275,440698,10642,501800,11216,513442,11431,516986,11489,518793,11537,520321,11567,532187,11608,575052,11755,589437,11844,593246,11887,595073,11918,596550,11933,598673,11953,603750,11974,611140,12003,1.9640344274634292
Monaco,0,0,1,0,52,1,95,4,99,4,103,4,120,4,154,4,218,2,359,2,609,3,875,3,1489,13,1956,24,2288,28,2454,32,2504,32,2577,33,2889,33,3201,33,3314,33,3414,36,3738,36,4985,38,8183,47,9359,51,10758,54,11770,57,12216,57,13006,58,14059,61,14379,61,14622,63,14963,65,15442,65,15948,65,16063,65,16106,67,16121,67,0.41560697227219157
Mongolia,0,0,0,0,12,0,38,0,179,0,220,0,291,0,301,0,313,0,340,0,784,0,1195,1,1779,2,2907,2,8447,8,35979,118,58439,253,115478,496,165147,713,214015,836,382497,1204,590800,1661,668402,1930,692621,1986,841848,2036,908157,2096,919188,2108,920781,2110,925073,2115,928586,2118,943690,2119,978960,2128,982864,2131,984823,2131,992767,2134,1007266,2136,1007871,2136,1007896,2136,1007900,2136,0.21192578628832226
Montenegro,0,0,0,0,109,2,322,7,324,9,548,12,3073,48,4835,100,10772,169,18341,301,35265,499,48247,682,61659,805,75834,1003,91218,1274,97389,1495,99623,1584,100252,1613,101927,1630,115385,1724,131499,1923,144314,2103,157376,2307,170034,2411,219775,2564,230207,2680,233102,2702,235228,2714,237223,2720,240222,2729,259349,2746,275538,2773,280182,2782,282764,2786,283719,2790,284756,2791,286355,2797,288280,2804,288808,2808,0.9722722362261434
Morocco,0,0,0,0,617,36,4423,170,7807,205,12533,228,24322,353,62590,1141,123653,2194,219084,3695,356336,5846,439193,7388,471157,8275,483654,8623,496097,8818,511249,9023,519216,9147,531361,9296,623528,9785,860948,12649,933071,14267,946145,14668,949917,14776,963092,14849,1132716,15400,1160975,15988,1163274,16060,1164953,16069,1168303,16076,1216909,16109,1260978,16237,1264435,16273,1264945,16278,1265601,16281,1268823,16284,1271595,16294,1272240,16296,1272454,16296,1272490,16296,1.280638747652241
Mozambique,0,0,0,0,8,0,76,0,254,2,889,6,1864,11,3916,23,8728,61,12869,92,15701,131,18642,166,38654,367,59350,641,67579,775,69917,814,70795,836,76404,878,122028,1434,146316,1864,150723,1917,151292,1930,151548,1941,189080,2006,223827,2173,225047,2192,225256,2200,225384,2201,225754,2203,227919,2212,229580,2215,230076,2220,230312,2222,230475,2224,230624,2226,230970,2230,231994,2233,233098,2242,233214,2242,0.9613488041026695
Namibia,0,0,0,0,11,0,16,0,24,0,205,0,2129,10,7550,75,11265,121,12935,133,14380,151,23941,205,33944,352,38845,424,44139,523,48351,642,55549,830,89917,1521,118922,3044,125046,3375,127589,3511,128927,3554,129187,3573,147974,3633,155899,3967,157225,4007,157646,4019,158649,4025,166363,4038,169179,4064,169253,4072,169253,4077,169253,4080,169908,4080,169946,4080,170295,4082,170741,4088,171156,4090,171156,4090,2.3896328495641406
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3394,0,4407,1,4610,1,4611,1,4611,1,4621,1,4621,1,4621,1,5247,1,5247,1,0.01905850962454736
Nepal,1,0,1,0,5,0,57,0,1572,8,13564,29,19771,56,39460,228,77817,498,170743,937,233452,1508,260593,1856,270959,2029,274143,2774,277309,3030,323187,3279,561302,7386,638805,9112,695389,9857,762647,10750,795061,11135,812570,11407,821366,11526,828431,11594,953913,11743,976984,11936,978426,11951,978810,11951,979140,11952,979694,11952,986596,11967,997346,12001,999742,12018,1000556,12019,1000889,12019,1001000,12019,1001100,12020,1001145,12020,1001154,12020,1.2006144908775274
Netherlands,0,0,10,0,13686,1040,39987,4811,46748,5975,50545,6132,55021,6166,73694,6252,129240,6457,366323,7459,535975,9453,816565,11525,995263,14108,1107326,15688,1300633,16689,1528728,17398,1679064,17897,1713572,18028,1897647,18114,1979267,18368,2043142,18584,2179684,18850,2702972,19863,3198704,21392,4624716,21809,6451397,22142,7951853,22583,8145596,22855,8187211,22933,8290330,23000,8439920,23122,8496405,23239,8541285,23292,8622874,23459,8654001,23568,8681537,23697,8695133,23702,8708982,23705,8712835,23705,0.2720698831092291
New Zealand,0,0,1,0,647,1,1479,20,1504,23,1528,23,1562,23,1752,25,1848,26,1959,26,2059,26,2162,26,2304,27,2378,28,2501,28,2613,28,2674,28,2743,28,2874,28,3570,29,4292,29,6595,31,11724,41,14120,48,16622,52,118822,84,674705,365,941736,637,1176499,891,1351585,1107,1628005,1503,1749378,1909,1785945,2031,1858163,2107,1951642,2213,2101244,2332,2190095,2479,2224660,2544,2236114,2550,0.11403711975328627
Nicaragua,0,0,0,0,4,1,13,3,885,35,2014,74,3080,116,3659,137,4146,151,4424,156,4629,160,4829,165,4992,169,5142,173,5326,178,5498,182,5833,186,6604,191,7592,195,8867,199,11273,204,12866,208,13330,212,13563,217,13681,220,13958,224,14269,230,14395,234,14508,238,14690,242,14807,244,14931,244,15070,245,15166,245,15250,245,15365,245,15569,245,15627,245,15655,245,1.5649952091983392
Niger,0,0,0,0,27,3,719,32,958,64,1075,67,1134,69,1176,69,1197,69,1220,69,1548,72,3323,104,4517,159,4740,172,5001,186,5228,191,5410,192,5489,193,5623,195,5849,199,6008,201,6366,213,7007,259,7405,275,8652,298,8754,307,8801,308,8941,309,9031,310,9031,310,9104,311,9331,312,9405,313,9425,314,9434,314,9473,314,9508,315,9508,315,9508,315,3.3129995793016405
Nigeria,0,0,1,0,135,2,1932,58,10162,287,25694,590,43151,879,54008,1013,58848,1112,62853,1144,67557,1173,87607,1289,131242,1586,155657,1907,162891,2057,165110,2063,166518,2099,167618,2120,173908,2149,192431,2469,205779,2721,211961,2896,214218,2977,241513,3030,253181,3136,254560,3142,255415,3142,255716,3143,256028,3143,257290,3144,260977,3147,263526,3148,265382,3155,266138,3155,266283,3155,266381,3155,266463,3155,266593,3155,266598,3155,1.1834297331562877
North Macedonia,0,0,1,0,329,9,1465,77,2226,133,6334,302,10754,486,14341,603,17977,739,31572,994,61878,1763,83329,2503,92693,2855,102787,3137,130022,3781,152367,4855,155272,5413,155684,5484,156380,5493,176494,5938,191408,6668,202552,7132,215585,7581,225049,7960,268901,8409,297262,9010,305979,9221,309571,9280,311936,9303,314018,9325,327009,9370,340341,9489,342961,9534,344146,9564,344710,9568,345603,9614,346428,9638,346852,9662,346852,9662,2.7856261460219347
Norway,0,0,15,0,4641,39,7738,210,8440,236,8879,250,9240,255,10782,264,14027,274,20331,282,36150,332,49567,436,62966,564,71006,622,96079,673,112970,756,125116,783,131316,794,137627,799,160174,814,189431,861,207280,900,267843,1054,394259,1305,781049,1440,1242160,1598,1405960,2518,1426013,2932,1433641,3141,1447270,3337,1455796,3623,1460127,3980,1462408,4098,1464946,4208,1469061,4384,1475077,4670,1477856,5112,1479032,5175,1479506,5213,0.3523473375572657
Oman,0,0,6,0,192,1,2348,11,11437,49,40070,176,79159,421,85722,685,98585,935,114434,1208,123699,1423,128867,1499,134326,1529,141496,1570,159218,1678,193253,2010,217224,2345,268545,3100,295857,3814,302300,4064,303769,4096,304291,4111,304554,4113,305489,4116,338880,4146,382244,4244,388343,4250,389126,4258,389473,4260,390244,4628,395737,4628,397846,4628,398424,4628,398775,4628,399119,4628,399154,4628,399449,4628,399449,4628,399449,4628,1.1585959659430867
Pakistan,0,0,4,0,2118,27,18114,417,72460,1543,213470,4395,278305,5951,295849,6294,312806,6484,333970,6823,400482,8091,482178,10176,546428,11683,581365,12896,672931,14530,825519,17957,922824,20850,958408,22321,1034837,23422,1163688,25889,1246538,27785,1273560,28456,1285254,28737,1295933,28933,1430366,29301,1510221,30196,1524973,30359,1527956,30369,1530453,30379,1536479,30395,1554591,30487,1569076,30581,1572598,30616,1574094,30626,1575225,30632,1575772,30636,1576312,30640,1576998,30643,1577411,30644,1.9426769561008514
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,8,0,8,0,10,0,1633,0,3781,6,4024,6,4610,6,5065,6,5220,6,5308,6,5348,6,5460,6,5513,7,5785,7,5971,9,5986,9,5988,9,5991,9,0.15022533800701052
Panama,0,0,0,0,1181,30,6532,188,13463,336,33550,631,65256,1421,92982,2002,112595,2372,133598,2700,165806,3079,246790,4022,320379,5270,340915,5845,355051,6114,364576,6232,378097,6371,403778,6545,435655,6823,457487,7061,467113,7228,472664,7315,477742,7365,495920,7428,697124,7716,755498,8083,764536,8170,776420,8184,858268,8255,921364,8364,948473,8412,978181,8470,986866,8497,990413,8509,1002161,8526,1023778,8567,1029701,8596,1031273,8604,1031731,8609,0.8344229261309393
Papua New Guinea,0,0,0,0,1,0,8,0,8,0,11,0,72,2,459,5,534,7,589,7,656,7,780,9,851,9,1275,12,5991,60,10997,107,15910,162,17098,173,17717,192,17838,192,20221,229,29715,370,35179,546,36158,590,36866,597,41290,638,43203,640,43817,650,44481,651,44717,662,44784,663,44880,664,44997,668,45465,668,46146,668,46663,669,46750,670,46792,670,46825,670,1.430859583555793
Paraguay,0,0,0,0,69,3,266,10,986,11,2221,17,5338,49,17662,326,40758,857,63185,1404,82424,1756,107932,2262,133227,2719,159474,3181,214667,4206,279077,6385,355384,9186,423282,12895,452388,14981,458528,15767,459967,16198,461006,16246,463058,16472,466101,16624,583662,17321,641321,18359,647950,18664,649455,18870,650661,18894,655532,18963,707109,19220,715162,19478,716543,19591,717955,19601,718164,19621,792215,19688,806256,19820,808327,19870,808401,19878,2.458928180445101
Peru,0,0,0,0,1065,138,36976,4782,164476,20710,285213,37898,407492,55982,647166,73612,811768,82135,900180,86494,962530,89449,1015137,93070,1138239,103810,1323863,122502,1548807,143416,1799445,166701,1955469,183783,2052065,192331,2111393,196353,2149591,198263,2175305,199367,2201796,200246,2236351,201176,2296831,202690,3239538,205834,3517260,210672,3547125,212222,3565253,212824,3580960,213195,3626802,213509,3909870,214303,4103874,215762,4144416,216575,4156924,217012,4252383,217414,4458643,218232,4481246,218931,4486034,219439,4487553,219539,4.8921762038242225
Philippines,1,0,3,1,2084,88,8488,568,18086,957,37514,1266,93354,2023,220819,3558,311694,5504,380729,7221,431630,8392,474064,9244,525618,10749,576352,12318,747288,13297,1037460,17234,1230301,20966,1412559,24662,1588965,27889,1989857,33448,2549966,38294,2787276,43172,2832734,48545,2843979,51504,3560202,54003,3661997,56451,3678245,59249,3685643,60341,3690581,60455,3704407,60555,3776627,60727,3880229,61814,3948040,62947,4004465,64074,4036277,64641,4064443,65385,4073203,65779,4076307,66111,4077452,66188,1.6232686491465749
Poland,0,0,0,0,2311,33,12877,644,23786,1064,34393,1463,45688,1716,67372,2039,91514,2513,362731,5631,990811,17150,1294878,28554,1513385,37180,1706986,43769,2321717,53045,2792142,67502,2872283,73745,2879912,75021,2882939,75261,2888670,75345,2907071,75650,3025247,76999,3540061,83583,4108215,97054,4886154,105194,5667054,111317,5962931,115173,5996514,116059,6007584,116318,6014992,116424,6069665,116570,6176885,117093,6293558,117569,6340435,118124,6352755,118319,6368479,118533,6379391,118727,6419480,118884,6444960,119010,1.8465591718179786
Portugal,0,0,0,0,7443,160,25045,989,32500,1410,42141,1576,51072,1735,58012,1822,75542,1971,141279,2507,298061,4505,413678,6906,720516,12482,804562,16317,821722,16848,836493,16974,849093,17025,879557,17096,968631,17361,1037927,17743,1069279,17975,1090651,18157,1147249,18441,1389646,18955,2689167,19905,3381602,21063,3738919,21695,4027684,22280,4683018,23115,5171236,24149,5340612,24592,5420140,24855,5493540,25031,5520731,25228,5542265,25450,5554058,25714,5563907,26022,5566708,26117,5570473,26266,0.47152189769163233
Qatar,0,0,1,0,781,2,13409,10,56910,38,96088,113,110695,174,118778,197,125760,214,132556,232,138833,237,143834,245,151335,248,163664,258,179964,291,205652,458,217458,556,222071,590,226239,601,232744,602,236643,606,239247,610,243447,611,250528,618,339147,645,356982,670,361415,677,364602,677,368788,677,382635,679,408656,681,429396,681,451168,682,469267,684,478848,685,489428,685,492482,686,494056,686,495090,688,0.1389646326930457
Romania,0,0,3,0,2245,82,12240,717,19257,1266,26970,1651,50886,2343,87540,3621,127572,4825,241339,6968,475362,11331,632263,15767,728743,18335,801994,20350,952803,23538,1055265,28109,1077737,30312,1080792,33786,1083189,34281,1098765,34570,1233668,37041,1648031,47751,1779667,56529,1808891,58752,2216525,60025,2733484,63414,2853570,65015,2893876,65486,2909195,65684,2919461,65739,3063647,65999,3219354,66709,3268562,67021,3286735,67186,3296834,67276,3308480,67374,3325006,67576,3340342,67704,3346046,67736,2.024359497747491
Russia,2,0,2,0,2337,17,106498,1073,405843,4693,646929,9306,838461,13939,992402,17128,1170799,20630,1606267,27787,2275936,39491,3127347,56271,3808348,72029,4198400,84700,4494234,97219,4750755,108290,5013512,119464,5449594,132973,6185249,155952,6820697,180009,7401104,203549,8377984,234194,9468640,269900,10320405,302671,11670366,324672,16161596,344655,17583111,361348,17917191,368319,18063880,371464,18161238,373404,18330786,374683,19244647,376558,20684948,379438,21124658,382302,21284476,384103,21490515,385789,21640952,387113,21960719,388126,22075858,388478,1.7597413427826905
Rwanda,0,0,0,0,75,0,243,0,370,1,1025,2,2022,5,4063,16,4840,29,5137,35,5934,49,8383,92,15304,196,18850,261,21783,307,25116,335,26963,353,39047,438,70698,808,87627,1089,97517,1273,99698,1331,100349,1342,111786,1350,128891,1440,129502,1457,129722,1459,129806,1459,130057,1459,131021,1460,132239,1466,132439,1466,132500,1466,132584,1467,132762,1467,132920,1467,133090,1468,133180,1468,133194,1468,1.1021517485772632
Saint Kitts and Nevis,0,0,0,0,8,0,15,0,15,0,15,0,17,0,17,0,19,0,19,0,22,0,32,0,37,0,41,0,44,0,44,0,68,0,446,3,593,3,1091,3,1918,13,2669,23,2786,28,2999,28,5422,33,5530,42,5549,43,5562,43,5729,43,6065,43,6462,46,6512,46,6544,46,6548,46,6556,46,6562,46,6592,46,6596,47,6597,47,0.7124450507806579
Saint Lucia,0,0,0,0,13,0,17,0,18,0,19,0,25,0,26,0,27,0,78,0,259,2,353,5,1195,13,3390,35,4238,60,4552,74,5067,79,5296,84,5610,89,8219,104,11459,201,12559,255,13000,280,13570,295,20942,328,22694,358,22953,365,23394,368,25593,371,27022,383,27966,385,28775,391,29408,393,29639,407,29711,408,29741,409,29803,409,29882,409,30004,409,1.3631515797893614
Saint Vincent and the Grenadines,0,0,0,0,1,0,16,0,26,0,29,0,54,0,60,0,64,0,74,0,85,0,121,0,901,2,1556,8,1748,10,1864,11,2035,12,2225,12,2291,12,2336,12,3508,21,4995,68,5525,74,5850,81,7903,94,8309,106,8335,106,8419,106,8670,107,9051,112,9354,115,9428,115,9448,116,9457,116,9474,116,9538,119,9585,123,9589,123,9589,123,1.2827197830847845
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,32,0,33,0,1713,0,9592,19,13499,26,14906,29,15405,29,15839,29,15925,29,15946,29,15967,29,15982,29,16087,29,16607,29,16607,29,0.17462515806587584
San Marino,0,0,1,1,236,26,563,41,687,42,713,42,716,42,735,42,749,42,958,42,1609,45,2333,59,3025,67,3716,74,4732,84,5060,90,5090,90,5092,90,5143,90,5331,90,5440,91,5547,92,6039,93,8202,100,12884,109,14369,112,15345,113,16437,115,17124,115,18016,115,19793,118,20373,118,20793,118,21604,119,22167,119,23008,121,23427,122,23536,122,23616,122,0.51659891598916
Sao Tome and Principe,0,0,0,0,0,0,14,0,483,12,714,13,871,15,896,15,911,15,945,16,991,17,1014,17,1257,17,1786,29,2223,34,2302,35,2345,38,2366,37,2454,37,2608,37,3459,50,3714,56,3731,56,3897,57,5890,69,5934,72,5945,73,5957,73,5991,73,6043,73,6100,74,6153,76,6230,77,6266,77,6278,77,6279,77,6280,77,6281,77,6281,77,1.2259194395796849
Saudi Arabia,0,0,0,0,1563,10,22753,162,85261,503,190823,1649,275905,2866,315772,3897,334605,4768,347282,5402,357360,5896,362741,6223,368074,6375,377383,6494,390007,6669,417363,6957,450436,7362,487592,7819,525730,8237,543318,8512,547134,8716,548617,8794,549752,8836,556236,8877,687264,8940,745027,8998,750814,9045,754011,9088,768079,9148,795186,9208,809672,9251,813461,9295,816498,9352,822459,9407,825597,9464,827004,9518,827962,9574,829478,9614,830127,9618,1.1586178982252113
